ticker,entry_date,exit_date,shares,entry_open,exit_close,spy_open,spy_close,gross_pnl_stock,gross_pnl_spy,total_cost,carry_stock,carry_spy,net_pnl,return,usd_invested,trade_days,hold_days
SNDR,2024-07-24,2024-07-24,1435,26.0,24.899999618530273,548.8599853515625,541.22998046875,-1578.5005474090576,518.6668545264611,28.7,0.0,0.0,-1088.5336928825966,-0.029175387104867237,37310.0,1,1
AVTR,2024-07-24,2024-07-24,1653,22.56999969482422,22.3700008392334,548.8599853515625,541.22998046875,-330.598108291626,518.6419637380936,33.06,0.0,0.0,154.98385544646766,0.004154148846649335,37308.20949554443,1,1
GTES,2024-07-17,2024-07-17,2089,17.860000610351562,17.479999542236328,558.7999877929688,556.9400024414062,-793.8222312927246,124.18611625090496,41.78,0.0,0.0,-711.4161150418196,-0.019067940551658634,37309.541275024414,1,1
PTGX,2024-06-28,2024-06-28,1052,35.459999084472656,34.650001525878906,547.1599731445312,544.219970703125,-852.117431640625,200.441586419617,21.04,0.0,0.0,-672.715845221008,-0.018033382620099594,37303.919036865234,1,1
RYAN,2024-06-21,2024-06-21,633,58.88999938964844,59.599998474121094,544.4000244140625,544.510009765625,449.4294204711914,-7.531161679676743,12.66,0.0,0.0,429.2382587915146,0.011514714241918186,37277.36961364746,1,1
SRPT,2024-05-30,2024-05-30,303,122.94999694824219,124.44999694824219,524.52001953125,522.6099853515625,454.5,135.6595028009916,6.0600000000000005,0.0,0.0,584.0995028009917,0.015678903450220612,37253.84907531738,1,1
DOCN,2024-05-01,2024-05-01,1045,35.68000030517578,35.529998779296875,501.3800048828125,500.3500061035156,-156.75159454345703,76.59683760784061,20.900000000000002,0.0,0.0,-101.05475693561642,-0.0027102891215719117,37285.60031890869,1,1
IAC,2024-05-02,2024-05-02,872,42.78916931152344,44.01968765258789,504.1499938964844,505.0299987792969,1073.0119934082031,-65.12918684650916,17.44,0.0,0.0,990.4428065616939,0.026544775813200003,37312.15563964844,1,1
CNS,2024-04-19,2024-04-19,506,73.7300033569336,72.38999938964844,499.44000244140625,495.1600036621094,-678.0420074462891,319.7091689657748,10.120000000000001,0.0,0.0,-368.4528384805143,-0.009876137689240677,37307.3816986084,1,1
DUOL,2024-04-18,2024-04-18,178,208.8800048828125,205.05999755859375,501.9800109863281,499.5199890136719,-679.9613037109375,182.20883599689398,3.56,0.0,0.0,-501.3124677140435,-0.013483158331736163,37180.640869140625,1,1
ROIV,2024-03-27,2024-03-27,3480,10.720000267028809,10.84000015258789,521.7100219726562,523.1699829101562,417.59960174560547,-104.39653794792976,69.60000000000001,0.0,0.0,243.6030637976757,0.006529932710629739,37305.600929260254,1,1
APPF,2024-03-26,2024-03-26,153,242.99000549316406,248.7100067138672,521.22998046875,518.8099975585938,875.1601867675781,172.6087282926836,3.06,0.0,0.0,1044.7089150602617,0.02810059133779153,37177.4708404541,1,1
CXM,2024-02-29,2024-02-29,2743,13.600000381469727,13.029999732971191,508.07000732421875,508.0799865722656,-1563.511778831482,-0.732721588785895,54.86,0.0,0.0,-1619.1045004202676,-0.043402040890330756,37304.80104637146,1,1
AMH,2024-02-27,2024-02-27,1002,37.22999954223633,36.16999816894531,506.70001220703125,506.92999267578125,-1062.1213760375977,-16.93170887130939,20.04,0.0,0.0,-1099.093084908907,-0.029462780011367845,37304.4595413208,1,1
BTU,2024-01-18,2024-01-18,1513,24.649999618530273,25.43000030517578,474.010009765625,476.489990234375,1180.1410388946533,-195.12665183509586,30.26,0.0,0.0,954.7543870595575,0.025599755515345896,37295.449422836304,1,1
PSTG,2024-01-03,2024-01-03,1004,37.130001068115234,36.52000045776367,470.42999267578125,468.7900085449219,-612.4406127929688,129.95808926400125,20.080000000000002,0.0,0.0,-502.56252352896746,-0.013481289200102333,37278.521072387695,1,1
SATS,2023-12-28,2023-12-28,2467,15.119999885559082,16.079999923706055,476.8800048828125,476.69000244140625,2368.3200941085815,14.861786069414302,49.34,0.0,0.0,2333.841880177996,0.0625677433616457,37301.039717674255,1,1
RUSHA,2023-12-20,2023-12-20,793,47.02000045776367,46.7400016784668,473.9599914550781,468.260009765625,-222.03903198242188,448.422704781142,15.860000000000001,0.0,0.0,210.5236727987201,0.005646055225598638,37286.86036300659,1,1
CG,2023-11-28,2023-11-28,1066,35.0,34.43000030517578,454.0799865722656,454.92999267578125,-607.6196746826172,-69.84172097424253,21.32,0.0,0.0,-698.7813956568598,-0.018729064477535775,37310.0,1,1
WPC,2023-11-28,2023-11-28,607,61.38999938964844,61.61000061035156,454.0799865722656,454.92999267578125,133.54074096679688,-69.75510606390544,12.14,0.0,0.0,51.64563490289143,0.0013859491633382538,37263.7296295166,1,1
CWEN,2023-11-28,2023-11-28,1511,24.68000030517578,25.219999313354492,454.0799865722656,454.92999267578125,815.9385013580322,-69.80705368753691,30.22,0.0,0.0,715.9114476704952,0.01919772127086483,37291.480461120605,1,1
CWEN-A,2023-11-28,2023-11-28,1634,22.829999923706055,24.239999771118164,454.0799865722656,454.92999267578125,2303.9397506713867,-69.83090098351616,32.68,0.0,0.0,2201.4288496878708,0.05901286388094078,37304.21987533569,1,1
CNM,2023-11-09,2023-11-09,1153,32.36000061035156,31.729999542236328,438.42999267578125,433.8399963378906,-726.3912315368652,390.6158945643388,23.06,0.0,0.0,-358.8353369725264,-0.009617393283829543,37311.08070373535,1,1
AMR,2023-11-08,2023-11-08,168,221.3000030517578,222.42999267578125,437.54998779296875,437.25,189.8382568359375,25.489810597798254,3.36,0.0,0.0,211.96806743373574,0.005701376727096019,37178.40051269531,1,1
BURL,2023-11-03,2023-11-03,280,133.00999450683594,132.4600067138672,433.1400146484375,434.69000244140625,-153.99658203125,-133.2730319058975,5.6000000000000005,0.0,0.0,-292.8696139371475,-0.007863791821032123,37242.79846191406,1,1
FND,2023-10-18,2023-10-18,409,91.20999908447266,85.73999786376953,434.19000244140625,430.2099914550781,-2237.230499267578,341.9559863621707,8.18,0.0,0.0,-1903.4545129054075,-0.051024263360955564,37304.88962554932,1,1
H,2023-10-10,2023-10-10,333,111.94000244140625,110.70999908447266,432.94000244140625,434.5400085449219,-409.5911178588867,-137.76010643328942,6.66,0.0,0.0,-554.011224292176,-0.01486240248313036,37276.02081298828,1,1
HAYW,2023-09-27,2023-09-27,2573,14.5,14.479999542236328,427.0899963378906,426.04998779296875,-51.461177825927734,90.85007640291435,51.46,0.0,0.0,-12.071101423013381,-0.00032354829122085803,37308.5,1,1
GSHD,2023-08-29,2023-08-29,543,68.61000061035156,68.61000061035156,442.6499938964844,449.1600036621094,0.0,-547.9089949674233,10.86,0.0,0.0,-558.7689949674233,-0.014998403982384185,37255.2303314209,1,1
JXN,2023-08-29,2023-08-29,995,37.5,39.43000030517578,442.6499938964844,449.1600036621094,1920.3503036499023,-548.7512543300455,19.900000000000002,0.0,0.0,1351.6990493198568,0.03622644018277673,37312.5,1,1
KVUE,2023-08-22,2023-08-22,1605,23.239999771118164,23.739999771118164,441.17999267578125,438.1499938964844,802.5,256.1756227180048,32.1,0.0,0.0,1026.575622718005,0.02752198735739632,37300.19963264465,1,1
AAP,2023-08-22,2023-08-22,556,67.0,67.33999633789062,441.17999267578125,438.1499938964844,189.0379638671875,255.84459041712893,11.120000000000001,0.0,0.0,433.7625542843164,0.011644007148188458,37252.0,1,1
DLB,2023-08-18,2023-08-18,452,82.51000213623047,84.80999755859375,433.3699951171875,436.5,1039.5979309082031,-269.35882511395624,9.040000000000001,0.0,0.0,761.1991057942469,0.020410480845077853,37294.52096557617,1,1
ERIE,2023-08-02,2023-08-02,153,242.6199951171875,257.82000732421875,453.25,450.1300048828125,2325.6018676757812,255.52542661874256,3.06,0.0,0.0,2578.067294294524,0.06945063627779724,37120.85925292969,1,1
PAG,2023-08-02,2023-08-02,216,172.0,173.27000427246094,453.25,450.1300048828125,274.3209228515625,255.73978730005518,4.32,0.0,0.0,525.7407101516177,0.014151074239653793,37152.0,1,1
MSGS,2023-07-28,2023-07-28,183,203.0,212.24000549316406,455.8800048828125,456.9200134277344,1690.9210052490234,-84.74878700862135,3.66,0.0,0.0,1602.512218240402,0.043137425455339364,37149.0,1,1
ELS,2023-07-20,2023-07-20,530,70.27999877929688,70.81999969482422,454.1700134277344,452.17999267578125,286.2004852294922,163.2099995552794,10.6,0.0,0.0,438.8104847847716,0.011780653461800567,37248.399353027344,1,1
ABR,2023-06-21,2023-06-21,2620,14.239999771118164,14.430000305175781,436.1600036621094,434.94000244140625,497.80139923095703,104.35798887839267,52.4,0.0,0.0,549.7593881093497,0.014735381383097873,37308.79940032959,1,1
APAM,2023-06-06,2023-06-06,1093,34.11000061035156,34.7400016784668,426.6700134277344,428.0299987792969,688.5911674499512,-118.83489813009155,21.86,0.0,0.0,547.8962693198596,0.014695909003190238,37282.23066711426,1,1
BERY,2023-06-06,2023-06-06,617,60.43000030517578,61.459999084472656,426.6700134277344,428.0299987792969,635.5092468261719,-118.84471392112847,12.34,0.0,0.0,504.32453290504344,0.01352609192087095,37285.31018829346,1,1
BWXT,2023-06-06,2023-06-06,580,64.30000305175781,64.08000183105469,426.6700134277344,428.0299987792969,-127.6007080078125,-118.87241782216996,11.6,0.0,0.0,-258.0731258299825,-0.006919963360902884,37294.00177001953,1,1
CARG,2023-06-06,2023-06-06,1840,20.270000457763672,20.0,426.6700134277344,428.0299987792969,-496.80084228515625,-118.88133969893518,36.800000000000004,0.0,0.0,-652.4821819840914,-0.017494320350509563,37296.800842285156,1,1
CCK,2023-06-06,2023-06-06,457,81.56999969482422,83.2300033569336,426.6700134277344,428.0299987792969,758.6216735839844,-118.81978709041232,9.14,0.0,0.0,630.6618864935721,0.016918035223215177,37277.48986053467,1,1
